UnixTimeStamp,TimeStamp,X,Y,Z
1215697095717,2008-07-10 13:38:15,00.79,01.47,01.26
1215697096733,2008-07-10 13:38:16,00.97,01.45,01.13
1215697097747,2008-07-10 13:38:17,02.52,01.41,01.41
1215697098763,2008-07-10 13:38:18,01.40,01.20,00.97
1215697099778,2008-07-10 13:38:19,01.00,01.32,00.89
1215697100794,2008-07-10 13:38:20,01.12,01.05,01.07
1215697101810,2008-07-10 13:38:21,01.00,01.13,00.90
1215697102824,2008-07-10 13:38:22,01.13,00.93,01.00
1215697103825,2008-07-10 13:38:23,01.27,01.05,01.07
1215697104825,2008-07-10 13:38:24,00.95,01.14,24.76
1215697105856,2008-07-10 13:38:25,01.24,01.30,01.12
1215697106857,2008-07-10 13:38:26,01.04,01.24,00.96
1215697107871,2008-07-10 13:38:27,00.90,01.10,00.98
1215697108887,2008-07-10 13:38:28,01.08,01.50,01.25
1215697109888,2008-07-10 13:38:29,00.50,01.00,01.50
1215697110888,2008-07-10 13:38:30,00.69,01.50,01.31
1215697111903,2008-07-10 13:38:31,01.22,00.83,00.78
1215697112904,2008-07-10 13:38:32,,,,
1215697113922,2008-07-10 13:38:33,02.81,04.16,03.45
1215697114922,2008-07-10 13:38:34,02.20,02.13,01.60
1215697115950,2008-07-10 13:38:35,01.69,01.59,01.33
1215697116950,2008-07-10 13:38:36,01.12,01.40,01.24
1215697117950,2008-07-10 13:38:37,01.31,01.52,01.07
1215697118966,2008-07-10 13:38:38,01.18,01.24,00.82
1215697119982,2008-07-10 13:38:39,00.61,01.72,01.06
1215697120997,2008-07-10 13:38:40,,,,
1215697122012,2008-07-10 13:38:42,01.85,00.46,00.69
1215697123028,2008-07-10 13:38:43,00.95,01.13,01.26
1215697124029,2008-07-10 13:38:44,01.00,01.59,01.06
1215697125043,2008-07-10 13:38:45,01.89,02.66,02.00
1215697126059,2008-07-10 13:38:46,02.93,05.83,01.70
1215697127075,2008-07-10 13:38:47,03.74,02.50,01.53
1215697128075,2008-07-10 13:38:48,01.30,01.10,01.40
1215697129091,2008-07-10 13:38:49,01.32,01.10,01.00
1215697130107,2008-07-10 13:38:50,01.14,01.14,01.23
