UnixTimeStamp,TimeStamp,X,Y,Z
1215697105856,2008-07-10 13:38:25,,,,
1215697106857,2008-07-10 13:38:26,,,,
1215697107871,2008-07-10 13:38:27,,,,
1215697108887,2008-07-10 13:38:28,,,,
1215697109888,2008-07-10 13:38:29,,,,
1215697110888,2008-07-10 13:38:30,,,,
1215697111903,2008-07-10 13:38:31,,,,
1215697112904,2008-07-10 13:38:32,,,,
1215697113922,2008-07-10 13:38:33,,,,
1215697114922,2008-07-10 13:38:34,,,,
1215697115950,2008-07-10 13:38:35,,,,
1215697116950,2008-07-10 13:38:36,,,,
1215697117950,2008-07-10 13:38:37,,,,
1215697118966,2008-07-10 13:38:38,,,,
1215697119982,2008-07-10 13:38:39,,,,
1215697120997,2008-07-10 13:38:40,,,,
1215697122012,2008-07-10 13:38:42,,,,
1215697123028,2008-07-10 13:38:43,,,,
1215697124029,2008-07-10 13:38:44,,,,
1215697125043,2008-07-10 13:38:45,,,,
1215697126059,2008-07-10 13:38:46,,,,
1215697127075,2008-07-10 13:38:47,,,,
1215697128075,2008-07-10 13:38:48,,,,
1215697129091,2008-07-10 13:38:49,,,,
1215697130107,2008-07-10 13:38:50,,,,
1215697131107,2008-07-10 13:38:51,,,,
1215697132125,2008-07-10 13:38:52,,,,
1215697133125,2008-07-10 13:38:53,,,,
1215697134138,2008-07-10 13:38:54,,,,
1215697135154,2008-07-10 13:38:55,,,,
1215697136169,2008-07-10 13:38:56,,,,
1215697137169,2008-07-10 13:38:57,,,,
1215697138169,2008-07-10 13:38:58,,,,
1215697139169,2008-07-10 13:38:59,,,,
1215697140169,2008-07-10 13:39:00,,,,
1215697141184,2008-07-10 13:39:01,,,,
1215697142184,2008-07-10 13:39:02,,,,
1215697143200,2008-07-10 13:39:03,,,,
1215697144215,2008-07-10 13:39:04,,,,
1215697145216,2008-07-10 13:39:05,,,,
1215697146232,2008-07-10 13:39:06,,,,
1215697147247,2008-07-10 13:39:07,,,,
1215697148263,2008-07-10 13:39:08,,,,
1215697149279,2008-07-10 13:39:09,,,,
1215697150279,2008-07-10 13:39:10,,,,
1215697151279,2008-07-10 13:39:11,,,,
1215697152279,2008-07-10 13:39:12,,,,
1215697153279,2008-07-10 13:39:13,,,,
1215697154294,2008-07-10 13:39:14,,,,
1215697155294,2008-07-10 13:39:15,,,,
1215697156294,2008-07-10 13:39:16,,,,
1215697157314,2008-07-10 13:39:17,,,,
1215697158314,2008-07-10 13:39:18,,,,
1215697159325,2008-07-10 13:39:19,,,,
1215697160325,2008-07-10 13:39:20,,,,
1215697161325,2008-07-10 13:39:21,,,,
1215697162345,2008-07-10 13:39:22,,,,
1215697163357,2008-07-10 13:39:23,,,,
1215697164357,2008-07-10 13:39:24,,,,
1215697165357,2008-07-10 13:39:25,,,,
1215697166404,2008-07-10 13:39:26,,,,
1215697167404,2008-07-10 13:39:27,,,,
1215697168419,2008-07-10 13:39:28,,,,
1215697169435,2008-07-10 13:39:29,,,,
1215697170435,2008-07-10 13:39:30,,,,
1215697171450,2008-07-10 13:39:31,,,,
1215697172475,2008-07-10 13:39:32,,,,
1215697173497,2008-07-10 13:39:33,,,,
1215697174497,2008-07-10 13:39:34,,,,
1215697175497,2008-07-10 13:39:35,,,,
1215697176513,2008-07-10 13:39:36,,,,
1215697177532,2008-07-10 13:39:37,,,,
1215697178544,2008-07-10 13:39:38,,,,
1215697179545,2008-07-10 13:39:39,,,,
