UnixTimeStamp,TimeStamp,Sampling
1215697117950,2008-07-10 13:38:37,0
1215697118966,2008-07-10 13:38:38,0
1215697119982,2008-07-10 13:38:39,0
1215697120997,2008-07-10 13:38:40,0
1215697122012,2008-07-10 13:38:42,0
1215697123028,2008-07-10 13:38:43,0
1215697124029,2008-07-10 13:38:44,0
1215697125043,2008-07-10 13:38:45,0
1215697126059,2008-07-10 13:38:46,0
1215697127075,2008-07-10 13:38:47,0
1215697128075,2008-07-10 13:38:48,0
1215697129091,2008-07-10 13:38:49,0
1215697130107,2008-07-10 13:38:50,0
1215697131107,2008-07-10 13:38:51,0
1215697132125,2008-07-10 13:38:52,0
1215697133125,2008-07-10 13:38:53,0
1215697134138,2008-07-10 13:38:54,0
1215697135154,2008-07-10 13:38:55,0
1215697136169,2008-07-10 13:38:56,0
1215697137169,2008-07-10 13:38:57,0
1215697138169,2008-07-10 13:38:58,0
1215697139169,2008-07-10 13:38:59,0
1215697140169,2008-07-10 13:39:00,0
1215697141184,2008-07-10 13:39:01,0
1215697142184,2008-07-10 13:39:02,0
1215697143200,2008-07-10 13:39:03,0
1215697144215,2008-07-10 13:39:04,0
1215697145216,2008-07-10 13:39:05,0
1215697146232,2008-07-10 13:39:06,0
1215697147247,2008-07-10 13:39:07,0
1215697148263,2008-07-10 13:39:08,0
1215697149279,2008-07-10 13:39:09,0
1215697150279,2008-07-10 13:39:10,0
1215697151279,2008-07-10 13:39:11,0
1215697152279,2008-07-10 13:39:12,0
1215697153279,2008-07-10 13:39:13,0
1215697154294,2008-07-10 13:39:14,0
1215697155294,2008-07-10 13:39:15,0
1215697156294,2008-07-10 13:39:16,0
1215697157314,2008-07-10 13:39:17,0
1215697158314,2008-07-10 13:39:18,0
1215697159325,2008-07-10 13:39:19,0
1215697160325,2008-07-10 13:39:20,0
1215697161325,2008-07-10 13:39:21,0
1215697162345,2008-07-10 13:39:22,0
1215697163357,2008-07-10 13:39:23,0
1215697164357,2008-07-10 13:39:24,0
1215697165357,2008-07-10 13:39:25,0
1215697166404,2008-07-10 13:39:26,0
1215697167404,2008-07-10 13:39:27,0
1215697168419,2008-07-10 13:39:28,0
1215697169435,2008-07-10 13:39:29,0
1215697170435,2008-07-10 13:39:30,0
1215697171450,2008-07-10 13:39:31,0
1215697172475,2008-07-10 13:39:32,0
1215697173497,2008-07-10 13:39:33,0
1215697174497,2008-07-10 13:39:34,0
1215697175497,2008-07-10 13:39:35,0
1215697176513,2008-07-10 13:39:36,0
1215697177532,2008-07-10 13:39:37,0
1215697178544,2008-07-10 13:39:38,0
1215697179545,2008-07-10 13:39:39,0
1215697180545,2008-07-10 13:39:40,0
1215697181560,2008-07-10 13:39:41,0
1215697182560,2008-07-10 13:39:42,0
1215697183560,2008-07-10 13:39:43,0
1215697184560,2008-07-10 13:39:44,0
1215697185591,2008-07-10 13:39:45,0
1215697186591,2008-07-10 13:39:46,0
1215697187592,2008-07-10 13:39:47,0
1215697188607,2008-07-10 13:39:48,0
1215697189622,2008-07-10 13:39:49,0
1215697190639,2008-07-10 13:39:50,0
1215697191654,2008-07-10 13:39:51,0
1215697192669,2008-07-10 13:39:52,0
1215697193685,2008-07-10 13:39:53,0
1215697194716,2008-07-10 13:39:54,0
1215697195733,2008-07-10 13:39:55,0
1215697196733,2008-07-10 13:39:56,0
1215697197747,2008-07-10 13:39:57,0
1215697198747,2008-07-10 13:39:58,0
1215697199763,2008-07-10 13:39:59,0
1215697200764,2008-07-10 13:40:00,0
1215697201779,2008-07-10 13:40:01,0
1215697202780,2008-07-10 13:40:02,0
1215697203794,2008-07-10 13:40:03,0
1215697204811,2008-07-10 13:40:04,0
1215697205811,2008-07-10 13:40:05,0
1215697206825,2008-07-10 13:40:06,0
1215697207826,2008-07-10 13:40:07,0
1215697208826,2008-07-10 13:40:08,0
1215697209826,2008-07-10 13:40:09,0
1215697210842,2008-07-10 13:40:10,0
1215697211858,2008-07-10 13:40:11,0
1215697212858,2008-07-10 13:40:12,0
1215697213858,2008-07-10 13:40:13,0
1215697214888,2008-07-10 13:40:14,0
1215697215904,2008-07-10 13:40:15,0
1215697216904,2008-07-10 13:40:16,0
1215697217905,2008-07-10 13:40:17,0
1215697218920,2008-07-10 13:40:18,0
1215697219936,2008-07-10 13:40:19,0
1215697220936,2008-07-10 13:40:20,0
1215697221950,2008-07-10 13:40:21,0
1215697222967,2008-07-10 13:40:22,0
1215697223986,2008-07-10 13:40:23,0
1215697224986,2008-07-10 13:40:24,0
1215697225998,2008-07-10 13:40:25,0
1215697227014,2008-07-10 13:40:27,0
1215697228014,2008-07-10 13:40:28,0
1215697229014,2008-07-10 13:40:29,0
1215697230029,2008-07-10 13:40:30,0
1215697231029,2008-07-10 13:40:31,0
1215697232045,2008-07-10 13:40:32,0
1215697233060,2008-07-10 13:40:33,0
1215697234076,2008-07-10 13:40:34,0
1215697235092,2008-07-10 13:40:35,0
1215697236108,2008-07-10 13:40:36,0
1215697237108,2008-07-10 13:40:37,0
1215697238123,2008-07-10 13:40:38,0
1215697239139,2008-07-10 13:40:39,0
1215697240155,2008-07-10 13:40:40,0
1215697241155,2008-07-10 13:40:41,0
1215697242155,2008-07-10 13:40:42,0
1215697243155,2008-07-10 13:40:43,0
1215697244170,2008-07-10 13:40:44,0
1215697245170,2008-07-10 13:40:45,0
1215697246186,2008-07-10 13:40:46,0
1215697247311,2008-07-10 13:40:47,0
1215697248311,2008-07-10 13:40:48,0
1215697249311,2008-07-10 13:40:49,0
1215697250311,2008-07-10 13:40:50,0
1215697251311,2008-07-10 13:40:51,0
1215697252311,2008-07-10 13:40:52,0
1215697253311,2008-07-10 13:40:53,0
1215697254326,2008-07-10 13:40:54,0
1215697255342,2008-07-10 13:40:55,0
1215697256405,2008-07-10 13:40:56,0
1215697257405,2008-07-10 13:40:57,0
1215697258406,2008-07-10 13:40:58,0
1215697259436,2008-07-10 13:40:59,0
1215697260436,2008-07-10 13:41:00,0
1215697261437,2008-07-10 13:41:01,0
1215697262467,2008-07-10 13:41:02,0
1215697263468,2008-07-10 13:41:03,0
1215697264468,2008-07-10 13:41:04,0
1215697265483,2008-07-10 13:41:05,0
1215697266483,2008-07-10 13:41:06,0
1215697267483,2008-07-10 13:41:07,0
1215697268483,2008-07-10 13:41:08,0
1215697269483,2008-07-10 13:41:09,0
1215697270483,2008-07-10 13:41:10,0
1215697271498,2008-07-10 13:41:11,0
1215697272514,2008-07-10 13:41:12,0
1215697273515,2008-07-10 13:41:13,0
1215697274530,2008-07-10 13:41:14,0
1215697275533,2008-07-10 13:41:15,0
1215697276562,2008-07-10 13:41:16,0
1215697277593,2008-07-10 13:41:17,0
1215697278593,2008-07-10 13:41:18,0
1215697279608,2008-07-10 13:41:19,0
1215697280609,2008-07-10 13:41:20,0
1215697281623,2008-07-10 13:41:21,0
1215697282623,2008-07-10 13:41:22,0
1215697283623,2008-07-10 13:41:23,0
1215697284623,2008-07-10 13:41:24,0
1215697285624,2008-07-10 13:41:25,0
1215697286639,2008-07-10 13:41:26,0
1215697287639,2008-07-10 13:41:27,0
1215697288640,2008-07-10 13:41:28,0
1215697289655,2008-07-10 13:41:29,0
1215697290655,2008-07-10 13:41:30,0
1215697291656,2008-07-10 13:41:31,0
1215697292656,2008-07-10 13:41:32,0
1215697293671,2008-07-10 13:41:33,0
1215697294691,2008-07-10 13:41:34,0
1215697295706,2008-07-10 13:41:35,0
1215697296748,2008-07-10 13:41:36,0
1215697297764,2008-07-10 13:41:37,0
1215697298769,2008-07-10 13:41:38,0
1215697299781,2008-07-10 13:41:39,0
