UnixTimeStamp,TimeStamp,X,Y,Z
1215697087637,2008-07-10 13:38:07,01.32,01.52,00.98
1215697088653,2008-07-10 13:38:08,00.91,01.20,01.02
1215697089654,2008-07-10 13:38:09,01.20,01.05,01.03
1215697090669,2008-07-10 13:38:10,01.18,01.18,00.77
1215697091669,2008-07-10 13:38:11,01.17,01.07,01.00
1215697092685,2008-07-10 13:38:12,01.66,01.32,02.34
1215697093699,2008-07-10 13:38:13,02.12,02.54,08.41
1215697094715,2008-07-10 13:38:14,01.21,01.35,00.81
1215697095717,2008-07-10 13:38:15,00.91,01.11,01.16
1215697096733,2008-07-10 13:38:16,00.90,01.32,00.88
1215697097747,2008-07-10 13:38:17,01.02,01.07,00.79
1215697098763,2008-07-10 13:38:18,01.20,01.22,00.80
1215697099778,2008-07-10 13:38:19,01.00,01.17,00.81
1215697100794,2008-07-10 13:38:20,01.16,01.47,00.81
1215697101810,2008-07-10 13:38:21,01.02,01.19,01.26
1215697102824,2008-07-10 13:38:22,01.02,01.29,00.91
1215697103825,2008-07-10 13:38:23,01.21,01.16,01.03
1215697104825,2008-07-10 13:38:24,01.11,01.25,01.05
1215697105856,2008-07-10 13:38:25,00.92,01.34,01.00
1215697106857,2008-07-10 13:38:26,01.18,01.07,01.09
1215697107871,2008-07-10 13:38:27,00.98,01.30,01.07
1215697108887,2008-07-10 13:38:28,01.10,01.63,01.76
1215697109888,2008-07-10 13:38:29,01.41,01.52,01.57
1215697110888,2008-07-10 13:38:30,01.20,01.29,01.27
1215697111903,2008-07-10 13:38:31,01.19,01.30,01.26
1215697112904,2008-07-10 13:38:32,01.12,01.35,00.93
1215697113922,2008-07-10 13:38:33,01.14,01.45,01.00
1215697114922,2008-07-10 13:38:34,01.79,03.23,00.86
1215697115950,2008-07-10 13:38:35,01.02,01.24,00.89
1215697116950,2008-07-10 13:38:36,01.15,01.32,00.98
1215697117950,2008-07-10 13:38:37,00.90,01.15,01.08
1215697118966,2008-07-10 13:38:38,01.19,01.60,01.19
1215697119982,2008-07-10 13:38:39,01.00,00.98,01.23
1215697120997,2008-07-10 13:38:40,01.23,01.14,00.84
1215697122012,2008-07-10 13:38:42,01.09,01.02,00.98
1215697123028,2008-07-10 13:38:43,01.10,01.24,01.21
1215697124029,2008-07-10 13:38:44,01.14,01.21,01.17
1215697125043,2008-07-10 13:38:45,01.10,01.48,00.88
1215697126059,2008-07-10 13:38:46,01.05,01.46,01.17
1215697127075,2008-07-10 13:38:47,01.16,01.31,01.02
1215697128075,2008-07-10 13:38:48,01.17,01.38,00.93
1215697129091,2008-07-10 13:38:49,01.15,01.34,00.93
1215697130107,2008-07-10 13:38:50,00.93,01.23,01.07
1215697131107,2008-07-10 13:38:51,01.24,01.10,01.19
1215697132125,2008-07-10 13:38:52,01.14,01.38,01.10
1215697133125,2008-07-10 13:38:53,01.40,01.26,00.98
1215697134138,2008-07-10 13:38:54,01.13,01.63,00.88
1215697135154,2008-07-10 13:38:55,00.95,01.05,01.02
1215697136169,2008-07-10 13:38:56,00.85,01.15,00.85
1215697137169,2008-07-10 13:38:57,01.29,01.22,01.22
1215697138169,2008-07-10 13:38:58,01.17,00.98,00.83
1215697139169,2008-07-10 13:38:59,01.16,01.49,00.79
1215697140169,2008-07-10 13:39:00,00.70,00.91,01.00
1215697141184,2008-07-10 13:39:01,01.03,01.10,01.08
1215697142184,2008-07-10 13:39:02,00.89,01.45,00.89
1215697143200,2008-07-10 13:39:03,00.90,01.40,01.29
1215697144215,2008-07-10 13:39:04,01.52,01.59,01.16
1215697145216,2008-07-10 13:39:05,02.90,01.36,00.95
1215697146232,2008-07-10 13:39:06,01.21,01.43,01.24
